Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
4/8/2015,207.98,207.67,82.28,125.60,41.42,96.85,540.13,381.20,125.47,106.64,131.13,27.55,100.16,40.89,96.03,84.06,106.66,49.13,32.65,115.59,81.03,61.05,51.89,192.56,63.05,2.71,31.31,27.13,118.19,131.49,153.36,115.59,15.61,47.62,85.39
4/9/2015,208.90,210.09,82.17,126.56,41.48,96.55,539.30,383.54,125.02,107.31,129.43,27.63,101.33,41.05,96.35,84.65,106.95,49.01,32.69,114.57,80.84,61.47,52.13,194.89,62.79,2.72,31.24,27.82,118.55,132.18,153.42,114.57,15.71,47.96,86.14
4/10/2015,210.04,210.90,82.04,127.10,41.72,97.80,538.53,382.65,125.62,107.75,129.62,28.04,102.06,40.88,96.20,85.56,106.91,49.22,32.77,115.24,80.65,61.70,52.43,195.64,64.94,2.76,31.93,28.02,119.00,133.31,154.38,115.24,15.72,48.17,84.58
4/13/2015,209.09,209.78,83.01,126.85,41.76,97.44,537.69,382.36,125.70,107.48,129.80,27.98,100.55,40.70,95.53,85.34,106.50,49.04,32.88,114.44,80.29,62.07,52.66,195.58,67.81,2.78,31.73,27.88,119.37,132.80,153.24,114.44,15.80,48.50,84.28
4/14/2015,209.49,207.46,83.52,126.30,41.65,97.58,528.94,385.11,125.67,107.17,130.72,27.81,100.52,40.51,96.49,86.63,108.84,49.18,32.69,114.05,80.15,63.04,52.73,197.72,68.39,2.67,31.49,27.72,119.92,132.90,153.21,114.05,15.82,48.30,85.00
4/15/2015,210.43,207.83,82.71,126.78,42.26,96.44,531.07,383.45,126.55,107.84,130.61,28.25,100.60,40.40,96.63,88.08,110.41,49.39,32.89,113.45,79.74,64.21,53.21,201.10,67.92,2.70,32.83,28.17,117.32,130.22,152.43,113.45,15.64,48.14,84.67
4/16/2015,210.37,206.70,82.31,126.17,42.16,95.63,532.34,386.04,126.48,107.69,129.96,28.60,99.79,40.60,96.45,87.73,110.16,49.27,32.75,113.37,79.24,63.81,54.02,200.21,80.29,2.87,32.87,28.01,121.60,132.80,151.97,113.37,15.79,48.25,84.06
4/17/2015,207.95,206.79,80.78,124.75,41.62,94.88,522.62,375.56,124.43,106.01,131.45,27.92,99.58,40.30,95.81,86.93,109.11,48.90,32.51,112.10,77.88,62.84,53.07,197.35,81.65,2.58,32.47,28.02,118.71,131.13,149.60,112.10,15.56,47.62,81.90
4/20/2015,209.85,205.27,83.09,127.60,42.91,96.18,533.91,389.51,125.65,107.60,130.29,28.48,100.21,40.66,96.50,87.24,110.29,49.38,32.83,112.86,78.14,63.24,53.20,198.10,81.06,2.49,32.73,28.26,118.58,130.27,152.67,112.86,15.57,47.97,82.20
4/21/2015,209.60,209.41,83.62,126.91,42.64,94.87,532.51,391.18,125.52,108.06,129.70,28.69,100.30,40.78,96.78,86.88,109.73,49.17,32.66,113.17,78.03,62.31,52.48,196.84,80.06,2.35,32.43,28.55,119.28,130.70,153.33,113.17,15.50,48.37,82.42
